DATE,M11006USM315NNBR
1914-02-01,201.5
1914-03-01,193.5
1914-04-01,189.0
1914-05-01,190.5
1914-06-01,188.5
1914-07-01,176.0
1914-08-01,.
1914-09-01,.
1914-10-01,151.0
1914-11-01,155.0
1914-12-01,167.5
1915-01-01,172.5
1915-02-01,170.0
1915-03-01,173.5
1915-04-01,181.0
1915-05-01,176.0
1915-06-01,173.5
1915-07-01,168.0
1915-08-01,175.5
1915-09-01,178.5
1915-10-01,192.0
1915-11-01,204.0
1915-12-01,200.0
